,City,Lat,Lng,Max Temp,Humidity,Cloudiness,Wind Speed,Country,Date
81,Carnarvon,-24.8667,113.6333,77.07,70,3,11.5,AU,1629099510
82,Kastamonu Province,41.5,33.6667,66.22,40,0,4.0,TR,1629099511
83,Bandarbeyla,9.4942,50.8122,89.58,46,89,28.21,SO,1629099511
84,Chul'man,56.8479,124.9104,75.47,50,26,9.69,RU,1629099512
85,Kodinsk,58.6881,99.1844,69.46,49,97,9.15,RU,1629099512
86,Kalmunai,7.4167,81.8167,88.3,56,100,10.42,LK,1629099512
87,Marabu,4.4148,114.0089,78.94,94,40,4.61,MY,1629099513
88,Beruwala,6.4788,79.9828,81.9,75,100,11.18,LK,1629099513
89,Avarua,-21.2078,-159.775,69.85,78,75,8.05,CK,1629099514
90,Galesong,-5.3166,119.3661,87.82,64,48,10.09,ID,1629099514
91,Barrow,71.2906,-156.7887,35.62,80,40,25.32,US,1629099515
92,Padang,-0.9492,100.3543,84.25,78,100,2.71,ID,1629099515
93,Keetmanshoop,-26.5833,18.1333,59.92,38,13,14.97,NA,1629099515
94,Goderich,43.7501,-81.7165,58.91,88,61,4.61,CA,1629099516
95,Krasnosel'kup,65.7,82.4667,64.4,41,3,17.49,RU,1629099516
96,Río Gallegos,-51.6226,-69.2181,41.05,93,90,6.91,AR,1629099517
97,Fortuna,40.5982,-124.1573,62.42,74,90,1.99,US,1629099517
98,Uzhur,55.3036,89.8339,71.92,45,10,4.29,RU,1629099517
99,Bima,-8.4667,118.7167,89.49,47,64,1.7,ID,1629099518
100,Arraial do Cabo,-22.9661,-42.0278,67.55,86,8,18.7,BR,1629099518
101,Longyearbyen,78.2186,15.6401,40.84,70,75,6.91,SJ,1629099518
102,Kokopo,-4.352,152.2633,76.68,89,99,9.28,PG,1629099519
103,Bambous Virieux,-20.3428,57.7575,74.21,56,20,11.5,MU,1629099519
104,Cockburn Town,21.4612,-71.1419,82.71,84,68,19.69,TC,1629099520
105,Arrondissement d'Ajaccio,42.0,8.9167,79.29,47,0,5.75,FR,1629099520
106,Ponta do Sol,32.6667,-17.1,86.63,19,8,5.68,PT,1629099521
107,Ancud,-41.8697,-73.8203,51.22,89,100,27.11,CL,1629099522
108,Pevek,69.7008,170.3133,33.37,80,95,8.5,RU,1629099522
109,Esperance,-33.8667,121.9,67.84,67,2,12.8,AU,1629099522
110,Torbay,47.6666,-52.7314,67.57,96,90,18.41,CA,1629099330
111,Tallinn,59.437,24.7535,66.45,77,40,11.5,EE,1629099523
112,Madang,-5.2246,145.7966,80.65,85,60,4.97,PG,1629099523
113,Gryazovets,58.88,40.2525,69.33,52,0,11.56,RU,1629099524
114,Lewisporte,49.2499,-55.0482,67.71,97,3,4.18,CA,1629099524
115,Roald,62.5833,6.1333,61.16,77,40,17.27,NO,1629099524
116,Monrovia,6.3005,-10.7969,76.89,79,89,11.61,LR,1629099525
117,Cape Town,-33.9258,18.4232,67.1,80,0,2.3,ZA,1629099426
118,Mayrtup,43.2017,46.1333,80.13,57,80,2.06,RU,1629099525
119,Tiksi,71.6872,128.8694,45.64,78,12,6.4,RU,1629099526
120,Thompson,55.7435,-97.8558,57.36,77,75,2.3,CA,1629099409
121,Lebu,-37.6167,-73.65,52.81,94,100,30.6,CL,1629099526
122,Clemencia,10.5665,-75.325,78.39,85,18,2.62,CO,1629099527
123,Olafsvik,64.8945,-23.7142,53.8,86,68,8.81,IS,1629099527
124,Gemeente Wageningen,51.9667,5.6667,63.86,92,75,1.99,NL,1629099528
125,Slonim,53.0867,25.3219,71.33,77,100,6.42,BY,1629099528
126,Yellowknife,62.456,-114.3525,54.12,82,75,13.8,CA,1629099472
127,Pangody,65.85,74.4859,67.96,43,6,15.43,RU,1629099529
128,Hendek,40.7994,30.7481,73.72,41,0,4.07,TR,1629099529
129,Tapes,-30.6733,-51.3958,56.21,92,100,2.01,BR,1629099529
130,Port Blair,11.6667,92.75,82.44,89,90,6.91,IN,1629099530
131,Tuktoyaktuk,69.4541,-133.0374,45.97,86,97,6.38,CA,1629099530
132,Touros,-5.1989,-35.4608,70.7,85,65,14.27,BR,1629099305
133,Port Macquarie,-31.4333,152.9167,69.76,49,0,1.16,AU,1629099531
134,Lianzhou,24.7811,112.3825,87.37,76,95,3.2,CN,1629099531
135,Taicheng,38.731,113.228,78.78,53,53,6.24,CN,1629099532
136,Khvastovichi,53.4694,35.0941,75.34,46,53,2.73,RU,1629099532
137,Sept-Îles,50.2001,-66.3821,53.06,88,1,3.44,CA,1629099482
138,Mokhotlong,-29.2894,29.0675,46.02,48,0,3.65,LS,1629099533
139,Berezayka,57.9883,33.9036,67.35,50,57,10.54,RU,1629099533
140,Kaitangata,-46.2817,169.8464,45.73,90,100,3.58,NZ,1629099534
141,Harper,4.375,-7.7169,77.18,70,100,5.39,LR,1629099534
142,Kruisfontein,-34.0033,24.7314,66.87,42,0,7.18,ZA,1629099534
143,Clyde River,70.4692,-68.5914,40.91,92,100,2.26,CA,1629099535
144,Port Elizabeth,-33.918,25.5701,59.29,77,0,5.75,ZA,1629099535
145,East London,-33.0153,27.9116,63.54,63,0,11.5,ZA,1629099536
146,Mar del Plata,-38.0023,-57.5575,50.02,100,75,3.44,AR,1629099327
147,Saint Paul Harbor,57.79,-152.4072,56.71,67,1,4.61,US,1629099536
148,Jevnaker,60.2414,10.385,60.69,86,100,7.31,NO,1629099537
149,Portland,45.5234,-122.6762,73.62,66,20,1.01,US,1629099199
150,Asău,46.4333,26.4,82.76,33,3,3.13,RO,1629099538
151,Ormara,25.2088,64.6357,80.15,80,4,13.27,PK,1629099538
152,Kedrovyy,56.1667,91.8167,73.81,39,86,6.78,RU,1629099538
153,Elko,41.0002,-115.5012,71.64,17,0,5.99,US,1629099539
154,Provideniya,64.3833,-173.3,42.93,88,100,10.58,RU,1629099539
155,Burnie,-41.0667,145.9167,45.81,70,7,15.7,AU,1629099540
156,Nur-Sultan,51.1801,71.446,80.55,29,0,6.71,KZ,1629099540
157,Aksu,41.1231,80.2644,84.63,16,100,10.36,CN,1629099541
158,Linjiang,41.8069,126.9078,77.11,68,100,3.98,CN,1629099541
159,Khasan,42.4308,130.6434,70.43,77,80,10.18,RU,1629099541
160,Itaúna,-20.0753,-44.5764,59.41,73,13,3.49,BR,1629099542
161,Kawalu,-7.3817,108.2082,83.7,61,60,6.98,ID,1629099542
162,Semīrom,31.4167,51.5667,81.99,13,0,7.85,IR,1629099543
163,George Town,5.4112,100.3354,82.35,79,20,1.99,MY,1629099318
164,Monroe,43.1501,-77.6831,60.31,85,1,0.0,US,1629099413
165,Castro,-24.7911,-50.0119,54.72,95,68,3.18,BR,1629099543
166,Tessalit,20.1986,1.0114,93.78,31,6,10.04,ML,1629099544
167,Tanabe,33.7333,135.3667,80.92,74,75,1.99,JP,1629099544
168,Hithadhoo,-0.6,73.0833,83.35,70,100,13.13,MV,1629099545
169,Khakhea,-24.6895,23.494,66.18,45,27,19.46,BW,1629099545
170,Show Low,34.2542,-110.0298,67.71,88,75,5.75,US,1629099398
171,Los Llanos de Aridane,28.6585,-17.9182,69.55,88,0,16.11,ES,1629099546
172,Batagay-Alyta,67.8006,130.4114,48.97,80,100,2.42,RU,1629099546
173,Rokytnice nad Jizerou,50.7256,15.4336,74.25,68,100,5.5,CZ,1629099546
174,Prince Rupert,54.3161,-130.3201,55.09,87,90,2.3,CA,1629099547
175,Mananara,-16.1667,49.7667,71.85,73,67,10.04,MG,1629099547
176,Halifax,44.6453,-63.5724,62.6,79,52,6.91,CA,1629099376
177,Grand Gaube,-20.0064,57.6608,74.37,54,45,7.0,MU,1629099548
178,Celestún,20.8667,-90.4,77.38,85,52,6.58,MX,1629099548
179,Dali,25.7,100.1833,71.56,83,98,4.5,CN,1629099549
180,Olinda,-8.0089,-34.8553,67.73,83,0,4.61,BR,1629099321
181,Kanbe,16.7053,96.0017,86.05,88,100,9.44,MM,1629099549
182,Kahului,20.8947,-156.47,76.26,72,40,8.05,US,1629099550
183,Katsuura,35.1333,140.3,73.51,94,100,13.33,JP,1629099550
184,Mbour,14.422,-16.9638,78.89,91,100,13.91,SN,1629099550
185,Talnakh,69.4865,88.3972,51.93,87,100,10.04,RU,1629099551
186,Ust-Maya,60.4167,134.5333,83.97,45,80,5.75,RU,1629099551
187,Samarai,-10.6167,150.6667,79.2,85,48,16.04,PG,1629099552
188,Vila Franca do Campo,37.7167,-25.4333,72.01,89,90,7.49,PT,1629099552
189,Gigmoto,13.7796,124.39,84.96,73,73,7.09,PH,1629099553
190,Narsaq,60.9167,-46.05,46.62,98,100,1.92,GL,1629099553
191,Riverton,40.5219,-111.9391,75.38,38,40,1.01,US,1629099553
192,Shirgaon,19.7,72.7,80.62,66,29,9.33,IN,1629099554
193,Moose Factory,51.2585,-80.6094,73.4,64,1,16.11,CA,1629099554
194,Mercedes,-34.6515,-59.4307,49.86,94,70,6.89,AR,1629099493
195,Nishihara,26.1842,127.7558,87.85,79,75,9.22,JP,1629099555
196,Bambanglipuro,-7.95,110.2833,82.69,71,2,19.6,ID,1629099555
197,Davila,18.4726,120.5763,87.78,76,89,8.37,PH,1629099556
198,Yar-Sale,66.8333,70.8333,66.34,48,100,15.3,RU,1629099556
199,Chokurdakh,70.6333,147.9167,50.16,45,100,8.95,RU,1629099556
200,Severo-Kuril'sk,50.6789,156.125,55.51,91,33,12.88,RU,1629099557
201,Port Alfred,-33.5906,26.891,67.35,51,2,10.02,ZA,1629099557
202,Barabai,-2.5833,115.3833,82.47,75,97,4.74,ID,1629099558
203,Baculin,7.4525,126.5842,84.42,72,100,7.2,PH,1629099558
204,Mahébourg,-20.4081,57.7,74.25,56,20,11.5,MU,1629099559
205,Cabo San Lucas,22.8909,-109.9124,84.51,78,12,3.0,MX,1629099411
206,Freeport,40.6576,-73.5832,74.01,83,1,0.0,US,1629099394
207,Korem,12.5058,39.5228,68.32,53,32,5.95,ET,1629099559
208,Grand-Santi,4.25,-54.3833,69.4,99,100,0.94,GF,1629099560
209,Tarko-Sale,64.9225,77.785,66.79,42,3,18.66,RU,1629099560
210,Santa Maria,-29.6842,-53.8069,51.89,97,13,3.4,BR,1629099561
211,Mount Gambier,-37.8333,140.7667,51.71,87,75,13.8,AU,1629099390
212,Saint-Leu,-21.15,55.2833,72.43,67,73,15.57,RE,1629099561
213,Pec,42.6591,20.2883,75.49,29,0,3.98,XK,1629099562
214,Isangel,-19.55,169.2667,70.72,65,24,16.15,VU,1629099562
215,Alofi,-19.0595,-169.9187,69.69,94,75,6.91,NU,1629099563
216,Onega,63.9061,38.1404,58.66,84,100,9.37,RU,1629099563
217,Teguise,29.0605,-13.564,72.93,69,0,16.93,ES,1629099563
218,Cape Canaveral,28.4058,-80.6048,83.07,84,20,9.22,US,1629099564
219,Atakpamé,7.5333,1.1333,72.95,83,100,2.73,TG,1629099564
220,Kintampo,8.0563,-1.7306,72.12,77,100,5.12,GH,1629099565
221,Songyuan,45.1171,124.8568,76.69,66,99,5.55,CN,1629099565
222,Villa Unión,23.2,-106.2333,84.9,94,40,3.44,MX,1629099565
223,Biloela,-24.4167,150.5,72.25,38,95,7.36,AU,1629099566
224,Jamestown,42.097,-79.2353,64.71,92,20,1.01,US,1629099435
225,Flin Flon,54.7682,-101.865,64.33,55,100,4.99,CA,1629099566
226,Mareeba,-17.0,145.4333,72.45,78,55,6.67,AU,1629099567
227,Hong Kong,22.2855,114.1577,89.33,74,6,1.99,HK,1629099401
228,Neuquén,-38.9516,-68.0591,48.09,81,0,0.0,AR,1629099557
229,Umm Hājar,13.2954,19.6966,84.43,63,73,8.16,TD,1629099568
230,Ahipara,-35.1667,173.1667,53.31,90,39,7.52,NZ,1629099568
231,Pacific Grove,36.6177,-121.9166,66.42,95,90,3.0,US,1629099569
232,Sabha,27.0377,14.4283,88.74,25,0,16.78,LY,1629099569
233,Shache,38.4167,77.2406,86.47,9,0,3.6,CN,1629099569
234,Saint George,37.1041,-113.5841,90.63,29,1,1.99,US,1629099570
235,Cayenne,4.9333,-52.3333,75.09,92,90,0.0,GF,1629099570
236,Mezen',65.8522,44.24,58.55,86,100,10.36,RU,1629099571
237,Amapá,1.0,-52.0,69.24,99,100,0.78,BR,1629099571
238,Bengkulu,-3.8004,102.2655,87.69,58,45,7.99,ID,1629099571
239,Humaitá,-7.5061,-63.0208,74.34,62,29,1.34,BR,1629099572
240,Nizhniy Odes,63.6445,54.856,59.76,93,100,10.38,RU,1629099572
241,Hobyo,5.3505,48.5268,83.75,62,100,27.29,SO,1629099573
242,Inhambane,-23.865,35.3833,73.38,60,40,11.5,MZ,1629099573
243,Ponta Delgada,37.7333,-25.6667,72.32,94,40,10.36,PT,1629099438
244,Oktyabr'skiy,54.4815,53.471,92.28,14,97,10.6,RU,1629099557
245,Mandalgovi,45.7625,106.2708,78.78,28,96,12.82,MN,1629099574
246,Acapulco de Juárez,16.8634,-99.8901,78.15,85,100,3.87,MX,1629099450
247,Raudeberg,61.9875,5.1352,57.87,85,80,13.0,NO,1629099575
248,Ordu,40.9086,37.6845,61.3,82,100,2.3,TR,1629099575
249,Lata,40.1629,-8.3327,73.04,55,0,4.21,PT,1629099576
250,Nikolskoye,59.7035,30.7861,66.09,55,48,11.77,RU,1629099576
251,Tyukhtet,56.5389,89.3011,74.82,45,89,7.83,RU,1629099577
252,Ayia Varvara,34.9971,33.3683,91.15,23,0,4.16,CY,1629099577
253,Nelson Bay,-32.7167,152.15,66.96,56,0,9.46,AU,1629099577
254,Igarka,67.4667,86.5833,49.93,84,100,12.17,RU,1629099578
255,Torgelow,53.6333,14.0167,70.92,70,100,10.04,DE,1629099579
256,Saint-Philippe,-21.3585,55.7679,72.95,69,68,14.25,RE,1629099579
257,Irtyshskiy,58.3333,68.1333,77.77,41,1,4.18,RU,1629099579
258,Avera,33.194,-82.5271,75.74,96,99,4.94,US,1629099283
259,Mossamedes,-15.1961,12.1522,71.08,70,20,9.15,AO,1629099580
260,Qandala,11.472,49.8728,93.65,47,28,6.35,SO,1629099580
261,Saldanha,-33.0117,17.9442,57.25,57,100,10.69,ZA,1629099581
262,Hasaki,35.7333,140.8333,73.69,91,100,11.07,JP,1629099581
263,Shirokiy,49.758,129.523,76.75,71,100,5.32,RU,1629099582
264,Santa Rita,-7.1139,-34.9781,68.67,94,0,4.61,BR,1629099582
265,Cherskiy,68.75,161.3,43.77,74,69,10.33,RU,1629099582
266,Farafangana,-22.8167,47.8333,67.33,72,100,5.93,MG,1629099583
267,Meulaboh,4.1363,96.1285,82.27,73,99,9.48,ID,1629099583
268,Honningsvåg,70.9821,25.9704,44.35,81,75,8.3,NO,1629099583
269,Sinnamary,5.3833,-52.95,75.11,88,88,6.98,GF,1629099584
270,Jalu,29.0331,21.5482,84.25,32,0,7.85,LY,1629099584
271,Merke,42.8728,73.1786,74.93,35,25,8.7,KZ,1629099585
272,Casper,42.8666,-106.3131,65.71,56,1,1.01,US,1629099585
273,Lüderitz,-26.6481,15.1594,58.71,59,41,14.23,NA,1629099585
274,Nanortalik,60.1432,-45.2371,46.65,98,100,10.29,GL,1629099586
275,Hermiston,45.8404,-119.2895,85.8,36,1,10.36,US,1629099586
276,Kentau,43.5206,68.5094,81.41,22,0,17.87,KZ,1629099485
277,Kunduz,36.729,68.857,92.91,11,0,7.02,AF,1629099587
278,Ciudad Juárez,31.7333,-106.4833,76.17,74,75,3.44,MX,1629099543
279,Aklavik,68.2191,-135.0107,52.63,75,100,8.7,CA,1629099587
280,Taoudenni,22.6783,-3.9836,97.92,20,2,9.19,ML,1629099588
281,Gamba,-2.65,10.0,76.6,80,100,7.81,GA,1629099588
282,Lompoc,34.6391,-120.4579,62.28,96,90,6.91,US,1629099589
283,Verāval,20.9,70.3667,84.58,69,80,10.89,IN,1629099589
284,Republic,37.12,-93.4802,69.94,83,1,8.05,US,1629099589
285,Yarmouth,41.7057,-70.2286,68.97,89,1,0.0,US,1629099590
286,Kramat,-8.1311,113.4499,84.38,66,40,7.34,ID,1629099590
287,Juneau,58.3019,-134.4197,55.22,92,90,5.75,US,1629099591
288,Monywa,22.1167,95.1333,79.14,85,100,10.07,MM,1629099591
289,Ostrovnoy,68.0531,39.5131,48.78,96,100,15.7,RU,1629099591
290,Mount Isa,-20.7333,139.5,82.17,17,0,14.97,AU,1629099592
291,Amuntai,-2.4177,115.2494,86.9,61,95,3.87,ID,1629099592
292,Qiyang,26.5911,111.8474,80.58,86,100,2.55,CN,1629099593
293,Iguape,-24.7081,-47.5553,63.99,96,99,0.27,BR,1629099593
294,Lorengau,-2.0226,147.2712,81.9,78,99,6.49,PG,1629099593
295,Majene,-3.5403,118.9707,86.41,59,18,4.27,ID,1629099594
296,Azul,-36.777,-59.8585,41.72,93,100,6.67,AR,1629099594
297,Pangnirtung,66.1451,-65.7125,43.83,77,88,3.44,CA,1629099595
298,San Rafael,-34.6177,-68.3301,51.28,36,79,6.38,AR,1629099595
299,Anloga,5.7947,0.8973,75.42,78,97,11.27,GH,1629099595
300,Coari,-4.085,-63.1414,71.94,90,94,1.92,BR,1629099596
301,Launceston,-41.45,147.1667,49.64,43,75,11.5,AU,1629099596
302,Bonfim,3.0833,-59.95,72.09,92,96,3.62,BR,1629099597
303,Peremyshlyany,49.6652,24.5585,68.32,63,100,8.59,UA,1629099597
304,Gornozavodsk,58.3758,58.3211,75.2,45,47,7.7,RU,1629099598
305,Ziyang,29.2497,117.8547,79.93,90,97,1.7,CN,1629099598
306,Tsévié,6.4261,1.2133,74.28,71,99,7.67,TG,1629099598
307,Cabedelo,-6.9811,-34.8339,68.67,86,88,14.97,BR,1629099599
308,Fare,-16.7,-151.0167,79.07,72,3,11.95,PF,1629099599
309,Adrar,20.5022,-10.0711,87.85,42,64,13.38,MR,1629099600
310,Kattivākkam,13.2167,80.3167,87.89,60,100,7.63,IN,1629099600
311,Taku,39.0211,117.6469,82.36,59,48,6.89,CN,1629099600
312,Matara,5.9485,80.5353,85.46,66,99,14.25,LK,1629099601
313,Kochubey,44.3861,46.5825,88.68,35,59,12.97,RU,1629099601
314,Ilulissat,69.2167,-51.1,41.02,93,100,3.44,GL,1629099602
315,Kirakira,-10.4544,161.9205,78.39,88,98,9.17,SB,1629099603
316,Foam Lake,51.65,-103.5343,68.02,45,12,11.01,CA,1629099603
317,Eslāmshahr,35.5605,51.2346,88.68,20,40,11.5,IR,1629099604
318,Daşoguz,41.8363,59.9666,84.31,24,0,16.11,TM,1629099604
319,Jacareacanga,-6.2222,-57.7528,70.93,88,4,1.63,BR,1629099605
320,Belyy Yar,53.6039,91.3903,75.09,33,0,4.47,RU,1629099605
321,Champotón,19.35,-90.7167,75.4,93,60,5.88,MX,1629099606
322,General Roca,-39.0333,-67.5833,48.6,35,99,4.9,AR,1629099606
323,Iqaluit,63.7506,-68.5145,42.53,93,90,6.91,CA,1629099606
324,Rocha,-34.4833,-54.3333,53.96,92,100,4.25,UY,1629099607
325,Port Lincoln,-34.7333,135.8667,55.56,74,99,9.89,AU,1629099607
326,Vardø,70.3705,31.1107,48.4,81,40,12.66,NO,1629099608
327,Iranshahr,27.2025,60.6848,106.14,16,0,6.91,IR,1629099608
328,Pochutla,15.7432,-96.4661,77.83,91,100,4.05,MX,1629099608
329,Hofn,64.2539,-15.2082,53.37,84,100,0.34,IS,1629099609
330,Matagami,49.7502,-77.6328,62.71,82,1,10.36,CA,1629099609
331,Jizan,17.3333,42.6667,95.94,48,66,6.4,SA,1629099610
332,Henties Bay,-22.116,14.2845,61.18,71,0,3.87,NA,1629099610
333,Kathmandu,27.7167,85.3167,79.02,78,75,6.91,NP,1629099439
334,Mbaïki,3.8678,17.9892,73.89,89,100,2.66,CF,1629099611
335,Nizwá,22.9333,57.5333,102.42,24,10,6.69,OM,1629099612
336,São João da Barra,-21.6403,-41.0511,68.65,84,85,9.17,BR,1629099612
337,Morro Bay,35.3658,-120.8499,79.12,63,34,3.0,US,1629099612
338,Semnan,35.5729,53.3971,90.59,17,0,7.16,IR,1629099613
339,Upernavik,72.7868,-56.1549,42.1,98,100,1.16,GL,1629099613
340,Petropavlovsk-Kamchatskiy,53.0452,158.6483,66.79,68,0,2.24,RU,1629099613
341,Viedma,-40.8135,-62.9967,55.09,41,100,15.84,AR,1629099614
342,Carutapera,-1.195,-46.02,75.42,91,6,4.72,BR,1629099614
343,Fairbanks,64.8378,-147.7164,52.09,93,90,1.01,US,1629099331
344,Kumul,42.8,93.45,76.51,45,100,3.85,CN,1629099615
345,Bahía Solano,6.2262,-77.4044,77.13,86,95,0.76,CO,1629099615
346,Agnita,45.9667,24.6167,74.91,36,0,4.9,RO,1629099616
347,Samandağ,36.0842,35.9771,91.92,46,0,11.07,TR,1629099616
348,Sechura,-5.5569,-80.8222,63.3,82,100,11.65,PE,1629099617
349,Ishigaki,24.3448,124.1572,87.93,79,40,11.5,JP,1629099617
350,Bandiagara,14.3501,-3.6104,79.68,70,16,12.08,ML,1629099617
351,Bariloche,-41.1456,-71.3082,39.02,98,100,5.77,AR,1629099618
352,Marsh Harbour,26.5412,-77.0636,82.9,79,100,14.97,BS,1629099329
353,Seoul,37.5683,126.9778,87.4,42,0,3.44,KR,1629099437
354,Birao,10.2849,22.7882,81.39,70,32,3.09,CF,1629099619
355,Pāsighāt,28.0667,95.3333,81.72,95,97,3.13,IN,1629099619
356,Fuxin,42.0156,121.6589,71.82,81,100,4.16,CN,1629099619
357,Faya,18.3851,42.4509,82.92,22,51,5.17,SA,1629099620
